#DDG, density
-5.00000 0.00004
-4.89933 0.00006
-4.79866 0.00008
-4.69799 0.00011
-4.59732 0.00014
-4.49664 0.00018
-4.39597 0.00024
-4.29530 0.00030
-4.19463 0.00037
-4.09396 0.00046
-3.99329 0.00057
-3.89262 0.00069
-3.79195 0.00083
-3.69128 0.00100
-3.59060 0.00120
-3.48993 0.00143
-3.38926 0.00172
-3.28859 0.00206
-3.18792 0.00247
-3.08725 0.00297
-2.98658 0.00357
-2.88591 0.00431
-2.78523 0.00520
-2.68456 0.00628
-2.58389 0.00757
-2.48322 0.00911
-2.38255 0.01094
-2.28188 0.01312
-2.18121 0.01567
-2.08054 0.01867
-1.97987 0.02217
-1.87919 0.02622
-1.77852 0.03091
-1.67785 0.03629
-1.57718 0.04243
-1.47651 0.04940
-1.37584 0.05723
-1.27517 0.06596
-1.17450 0.07560
-1.07383 0.08612
-0.97315 0.09746
-0.87248 0.10950
-0.77181 0.12211
-0.67114 0.13507
-0.57047 0.14815
-0.46980 0.16108
-0.36913 0.17356
-0.26846 0.18529
-0.16779 0.19598
-0.06711 0.20537
0.03356 0.21323
0.13423 0.21940
0.23490 0.22379
0.33557 0.22635
0.43624 0.22713
0.53691 0.22622
0.63758 0.22376
0.73826 0.21993
0.83893 0.21493
0.93960 0.20900
1.04027 0.20233
1.14094 0.19514
1.24161 0.18762
1.34228 0.17993
1.44295 0.17222
1.54362 0.16461
1.64430 0.15720
1.74497 0.15005
1.84564 0.14322
1.94631 0.13676
2.04698 0.13068
2.14765 0.12501
2.24832 0.11973
2.34899 0.11486
2.44966 0.11037
2.55034 0.10626
2.65101 0.10250
2.75168 0.09908
2.85235 0.09595
2.95302 0.09310
3.05369 0.09049
3.15436 0.08809
3.25503 0.08586
3.35570 0.08378
3.45638 0.08182
3.55705 0.07993
3.65772 0.07811
3.75839 0.07632
3.85906 0.07456
3.95973 0.07280
4.06040 0.07104
4.16107 0.06927
4.26174 0.06749
4.36242 0.06568
4.46309 0.06384
4.56376 0.06198
4.66443 0.06008
4.76510 0.05815
4.86577 0.05618
4.96644 0.05418
5.06711 0.05215
5.16779 0.05010
5.26846 0.04803
5.36913 0.04595
5.46980 0.04388
5.57047 0.04182
5.67114 0.03978
5.77181 0.03779
5.87248 0.03584
5.97315 0.03394
6.07383 0.03211
6.17450 0.03035
6.27517 0.02868
6.37584 0.02708
6.47651 0.02558
6.57718 0.02416
6.67785 0.02282
6.77852 0.02157
6.87919 0.02040
6.97987 0.01929
7.08054 0.01824
7.18121 0.01725
7.28188 0.01631
7.38255 0.01541
7.48322 0.01456
7.58389 0.01375
7.68456 0.01299
7.78523 0.01228
7.88591 0.01163
7.98658 0.01104
8.08725 0.01050
8.18792 0.01003
8.28859 0.00962
8.38926 0.00927
8.48993 0.00897
8.59060 0.00871
8.69128 0.00850
8.79195 0.00831
8.89262 0.00815
8.99329 0.00799
9.09396 0.00783
9.19463 0.00767
9.29530 0.00749
9.39597 0.00730
9.49664 0.00709
9.59732 0.00686
9.69799 0.00663
9.79866 0.00638
9.89933 0.00614
10.00000 0.00589
